2024-10-17 21:36:06,676 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 47, delta value: 15 done
2024-10-17 21:36:06,708 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 72, delta value: 10 done
2024-10-17 21:36:06,721 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 72, delta value: 20 done
2024-10-17 21:36:06,735 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 56, delta value: 15 done
2024-10-17 21:36:06,745 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 67, delta value: 20 done
2024-10-17 21:36:06,793 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 30, delta value: 10 done
2024-10-17 21:36:06,903 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 75, delta value: 20 done
2024-10-17 21:36:06,941 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 72, delta value: 15 done
2024-10-17 21:36:07,022 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 92, delta value: 20 done
2024-10-17 21:36:07,149 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 67, delta value: 15 done
2024-10-17 21:36:07,185 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 56, delta value: 10 done
2024-10-17 21:36:07,198 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 56, delta value: 20 done
2024-10-17 21:36:07,303 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 75, delta value: 15 done
2024-10-17 21:36:07,346 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 92, delta value: 15 done
2024-10-17 21:36:07,361 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 79, delta value: 10 done
2024-10-17 21:36:07,366 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 79, delta value: 15 done
2024-10-17 21:36:07,378 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 92, delta value: 10 done
2024-10-17 21:36:07,401 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 57, delta value: 10 done
2024-10-17 21:36:07,462 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 87, delta value: 10 done
2024-10-17 21:36:07,467 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 87, delta value: 20 done
2024-10-17 21:36:07,485 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 57, delta value: 15 done
2024-10-17 21:36:07,496 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 79, delta value: 20 done
2024-10-17 21:36:07,515 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 86, delta value: 20 done
2024-10-17 21:36:07,572 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 87, delta value: 15 done
2024-10-17 21:36:07,578 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 22, delta value: 10 done
2024-10-17 21:36:07,615 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 90, delta value: 15 done
2024-10-17 21:36:07,669 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 86, delta value: 10 done
2024-10-17 21:36:07,683 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 22, delta value: 20 done
2024-10-17 21:36:07,808 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 4, delta value: 15 done
2024-10-17 21:36:07,908 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 52, delta value: 20 done
2024-10-17 21:36:07,923 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 90, delta value: 10 done
2024-10-17 21:36:07,989 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 86, delta value: 15 done
2024-10-17 21:36:08,140 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 88, delta value: 15 done
2024-10-17 21:36:08,188 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 22, delta value: 15 done
2024-10-17 21:36:08,218 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 4, delta value: 20 done
2024-10-17 21:36:08,274 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 94, delta value: 20 done
2024-10-17 21:36:08,303 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 94, delta value: 10 done
2024-10-17 21:36:08,307 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 94, delta value: 15 done
2024-10-17 21:36:08,313 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 89, delta value: 20 done
2024-10-17 21:36:08,322 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 57, delta value: 20 done
2024-10-17 21:36:08,370 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 4, delta value: 10 done
2024-10-17 21:36:08,428 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 88, delta value: 10 done
2024-10-17 21:36:08,484 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 50, delta value: 10 done
2024-10-17 21:36:08,513 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 88, delta value: 20 done
2024-10-17 21:36:08,546 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 90, delta value: 20 done
2024-10-17 21:36:08,550 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 89, delta value: 10 done
2024-10-17 21:36:08,605 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 97, delta value: 20 done
2024-10-17 21:36:08,660 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 97, delta value: 15 done
2024-10-17 21:36:08,698 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 89, delta value: 15 done
2024-10-17 21:36:08,767 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 45, delta value: 15 done
2024-10-17 21:36:08,833 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 97, delta value: 10 done
2024-10-17 21:36:08,929 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 50, delta value: 15 done
2024-10-17 21:36:09,195 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 109, delta value: 15 done
2024-10-17 21:36:09,203 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 109, delta value: 10 done
2024-10-17 21:36:09,216 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 49, delta value: 10 done
2024-10-17 21:36:09,321 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 77, delta value: 20 done
2024-10-17 21:36:09,323 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 45, delta value: 20 done
2024-10-17 21:36:09,328 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 77, delta value: 10 done
2024-10-17 21:36:09,352 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 109, delta value: 20 done
2024-10-17 21:36:09,456 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 100, delta value: 20 done
